participant_id,respondent_id,competence_self,elo_midpoint,watch_frequency_level,watched_before,feedback_open,IntroLayout,IntroPlayers,IntroCivs,IntroEconomy,EventScouting,BattleDelay,BattleMilitary,BattleEcoKills,StateAgeUp,StateMilTech,EventUncommon,BattleBreakIn,BattleOverwhelm,Predictions,Knowledge,Understanding,SummaryOpinion,PreferFullGames,LimitedTime,InterestBattles,InterestStrategy,InterestSkill,TechnicalIssues,has_email,has_name
P038,38,3,1350,3,Yes,NA,3,2,4,3,4,2,3,4,2,4,2,2,2,2,4,4,2,4,2,4,4,4,4,TRUE,FALSE
P039,39,4,1350,3,No,NA,4,3,2,4,5,4,4,5,4,4,4,4,5,3,5,5,2,5,3,2,4,5,4,TRUE,FALSE
P040,40,3,1100,2,No,NA,5,5,5,5,4,4,4,5,4,5,5,5,5,4,5,5,4,4,4,3,5,3,5,TRUE,FALSE
P041,41,4,1350,3,Yes,- Daut collecting the relics -How DauT went from beeing halve a vil ahead after the first vil snipe to beeing a vil behind when villese hits castle,4,2,3,3,4,4,4,4,4,3,3,3,4,3,4,3,2,5,2,4,5,5,2,TRUE,FALSE
P042,42,4,1600,2,Unsure,"Before castle age up, the summary gave the impression that daut should have the eco lead (shown vil kills). Homever, the difference in uptime does not make up for that -> there were some idle tc time or vil kills not shown, which is (when rewatching) irritating. However, it seems to not impact the outcome of the game After all. So I'm not Sure After all :D",2,1,4,2,1,2,4,3,1,4,2,2,2,1,2,3,5,2,5,3,5,4,4,TRUE,FALSE
P043,43,4,1350,2,Yes,Economy balance,4,3,4,5,5,5,4,4,4,5,5,5,5,5,4,2,1,5,3,3,5,5,5,TRUE,FALSE
P044,44,5,1350,3,No,NA,5,4,4,3,4,5,5,5,3,5,5,5,5,4,5,5,5,5,1,4,5,5,5,TRUE,FALSE
P045,45,4,1350,3,No,NA,2,1,1,2,3,5,5,5,4,5,3,3,2,2,4,4,2,5,3,4,5,5,4,TRUE,FALSE
P046,46,4,1100,2,Yes,NA,4,1,2,3,3,4,4,4,5,4,4,3,5,1,3,5,4,5,4,3,4,4,1,TRUE,FALSE
P047,47,3,1100,3,Yes,NA,5,1,5,4,4,4,3,4,3,5,5,4,2,1,4,3,1,5,1,3,5,5,4,TRUE,FALSE
P048,48,5,1600,3,No,There was no mention of the civilisation match-up and the winning conditions each civilisation has.,4,3,4,3,4,4,4,4,4,4,4,4,4,2,4,5,4,5,3,2,4,5,2,TRUE,FALSE
P049,49,4,1100,3,No,NA,4,2,3,2,2,4,5,5,5,5,2,3,4,2,4,5,4,5,4,3,5,4,1,TRUE,FALSE
P050,50,5,1600,2,Yes,NA,3,3,4,3,3,3,4,4,4,4,2,3,3,2,3,4,3,5,5,4,4,4,2,TRUE,FALSE
P051,51,5,1350,3,No,I feel like the caster wasnt as good as others. Subtitles were nice though. Cant think of anything that would make it better,3,2,4,4,4,5,5,5,4,4,5,4,5,2,4,5,3,5,4,4,4,4,5,TRUE,FALSE
P052,52,5,1350,2,No,It was hard to see who was ahead economically and technologically in each moment because CA has sooo much info to digest and the clips didn’t give me enough time to see that.,5,1,2,4,4,4,5,5,5,4,5,5,5,2,2,3,2,5,5,2,5,5,4,TRUE,FALSE
P053,53,4,1100,2,Unsure,NA,4,1,5,3,4,4,5,5,5,5,4,4,5,3,4,5,4,4,2,4,5,4,3,TRUE,FALSE
P054,54,4,1100,2,Yes,NA,4,2,3,2,3,2,4,5,2,1,1,2,2,1,2,3,2,4,5,2,5,4,5,TRUE,FALSE
P055,55,3,900,2,Yes,"Previous tournament performance in the same map versus other opponents, Ex: Villese struggles in Arabia or he is known for being good at walling, etc.",4,5,4,4,3,3,3,3,4,3,4,2,4,1,5,5,4,2,5,5,5,4,3,TRUE,FALSE
P056,56,4,1100,3,Yes,NA,5,3,3,4,5,5,5,5,5,5,3,5,5,NA,5,4,4,4,1,3,5,4,1,TRUE,FALSE
P057,57,4,1350,2,Yes,"Idle time presentation, i.e. how much of the lead was due to killling and how much due to idle time.",5,5,5,4,4,3,3,4,3,3,2,2,2,2,2,2,3,5,4,2,5,4,2,TRUE,FALSE
